epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,244.379,3.988,3.66033,4.25166,0.0092,0.38571,0.00711,0.00282,3.39627,3.48674,3.91442,0.0675704,0.000162963,0.000162963
2,1087.97,3.75437,3.31907,4.0054,0.01019,0.42698,0.00784,0.00269,3.34957,3.47766,3.80672,0.0344036,0.000329549,0.000329549
3,1574.89,3.8118,3.10399,3.84919,0.00973,0.40794,0.00751,0.00292,3.34647,3.49446,3.77807,0.00123655,0.000495812,0.000495812
4,1872.19,3.60641,2.9237,3.76681,0.01045,0.4381,0.01513,0.00538,3.2882,3.35347,3.77444,0.000498902,0.000498902,0.000498902
5,2181.92,3.54357,2.86378,3.65736,0.05073,0.06984,0.02373,0.00787,3.16005,3.15807,3.74616,0.000498048,0.000498048,0.000498048
6,2542.11,3.38718,2.86474,3.56499,0.08759,0.14921,0.04537,0.01277,3.05335,3.05906,3.63164,0.000496953,0.000496953,0.000496953
7,2834.28,3.35195,2.82053,3.4398,0.09866,0.21111,0.06075,0.01705,2.90428,3.04475,3.49149,0.000495616,0.000495616,0.000495616
8,3227.93,3.20177,2.65636,3.25005,0.11317,0.17619,0.069,0.02067,2.75005,3.12898,3.34237,0.000494039,0.000494039,0.000494039
9,3819.74,3.10991,2.69487,3.2022,0.0581,0.16032,0.03508,0.01309,2.66228,3.68309,3.26912,0.000492224,0.000492224,0.000492224
10,4261.68,3.00444,2.65994,3.12441,0.10588,0.22698,0.06371,0.02194,2.57186,2.99064,3.16387,0.000490173,0.000490173,0.000490173
11,4615.97,2.90401,2.62374,3.05389,0.13531,0.30104,0.10208,0.0333,2.53487,3.08661,3.09019,0.000487886,0.000487886,0.000487886
12,5119.15,2.88185,2.57495,2.94037,0.21383,0.31905,0.13864,0.04729,2.52382,2.67429,3.05069,0.000485368,0.000485368,0.000485368
13,5609.91,2.81469,2.51407,2.93856,0.247,0.38633,0.18357,0.06632,2.46671,2.59048,2.95264,0.00048262,0.00048262,0.00048262
14,6204.79,2.7658,2.47421,2.875,0.31821,0.33175,0.26457,0.09346,2.43509,2.49535,2.91868,0.000479644,0.000479644,0.000479644
15,6536.52,2.7232,2.41321,2.79329,0.36991,0.30565,0.29455,0.11409,2.37953,2.455,2.85376,0.000476445,0.000476445,0.000476445
16,6808.79,2.63589,2.31108,2.67436,0.35401,0.36032,0.3317,0.1336,2.32843,2.39666,2.75463,0.000473024,0.000473024,0.000473024
17,7061.43,2.61568,2.26016,2.65364,0.38237,0.43651,0.38843,0.15947,2.27823,2.32138,2.68809,0.000469386,0.000469386,0.000469386
18,7339.88,2.55199,2.1804,2.61483,0.44935,0.46825,0.41326,0.16187,2.27127,2.26825,2.6745,0.000465534,0.000465534,0.000465534
19,7625.05,2.48536,2.09407,2.53368,0.5437,0.50688,0.50322,0.1969,2.30495,2.13938,2.64802,0.000461471,0.000461471,0.000461471
20,7930.04,2.49402,2.0696,2.50775,0.61749,0.55556,0.59688,0.26321,2.19703,2.01703,2.54063,0.000457202,0.000457202,0.000457202
21,8186.12,2.42615,2.03294,2.4425,0.69415,0.54603,0.64344,0.28842,2.17878,1.91929,2.50261,0.000452732,0.000452732,0.000452732
22,8483.45,2.40233,1.88165,2.38349,0.7023,0.56032,0.63835,0.30176,2.12139,1.87187,2.44904,0.000448063,0.000448063,0.000448063
23,8800.79,2.36744,1.86794,2.38518,0.63863,0.6508,0.65922,0.30269,2.11416,1.85519,2.42807,0.000443202,0.000443202,0.000443202
24,9151.43,2.31506,1.83054,2.34908,0.75773,0.65531,0.73838,0.34611,2.10245,1.75174,2.38685,0.000438152,0.000438152,0.000438152
25,9470.7,2.32124,1.78695,2.34038,0.80326,0.64603,0.7434,0.36032,2.04184,1.70968,2.35169,0.00043292,0.00043292,0.00043292
26,9910.03,2.31155,1.76319,2.2953,0.76065,0.67092,0.73554,0.34416,2.07317,1.70942,2.35557,0.000427509,0.000427509,0.000427509
27,10327.5,2.23864,1.69102,2.29368,0.80842,0.70159,0.77371,0.3646,2.06336,1.65837,2.31511,0.000421925,0.000421925,0.000421925
28,10609.7,2.23865,1.67486,2.23399,0.83209,0.69841,0.77704,0.37621,2.01032,1.61006,2.28448,0.000416175,0.000416175,0.000416175
29,10877,2.20033,1.65022,2.22215,0.85067,0.71746,0.7914,0.38997,1.97644,1.56485,2.25572,0.000410262,0.000410262,0.000410262
